Link,Question,Username,Comment
,,sh00kandfulfilling,sleep early
,,rrachea,sleep more
,,xinjie.ee,SLEEP MORE 🔥🔥🔥
,,kinokokam,sleep more exercise less
,,ansonn.jw,less overthinking!
,,jovelyncheng,sleep
,,stargurliee,meditate and self-care!
,,sihankwon,Drink more water
,,i_love_shiny_stuff,drink more water
,,ghekkowakko,Sleep at 12am
,,bitterlychee,Sleep more!
,,hey_its_jnn,Exercise more!
,,samsmithstan101,Sleep more
,,ystinggg,"More sleep, more exercise and balanced diet🙌"
,,_cwhy_,Have more sleep!
,,denisesiah22,Sleep
,,thtzcrazy,Sleep more!
,,alowwvera,sleep more!!
,,camelliaaaa_,live love laugh (LLL)!!!
,,raeiiee,Live laugh love!
,,k6ilyyy,more time for sleep
,,hongweenn,rest more
,,valentannn,Eat more
,,ccrystaltan,sleep more regularly
,,justin_tkf,Less screen time!
,,ilisha.t_,Less time on Tok
,,mayakayatoast,don’t take things too seriously!
,,trev_ong,pay more attention to your body
,,jeroo_me,Be consistent with your work!
,,jiasheng_18,Study more!
,,agtrunchbull,stop comparing!
,,oatmilkcocoamacchiatoo,be more productive!
,,ladolcevita2812,Healthier food intake!
,,colegate.__,Take more breaks
,,jufr_j,spend more on myself
,,sugguin,happiness
,,malcolm._.lee,Eat less Maggie mee
,,snehapeter23,Sleep more
,,nigel.louie,More intern
,,cheeerieee_,Show lurve❤️
,,zi_yiingg,sleep more
,,cedricaaa___,Introspection!
,,ricky._.y,Sleep more
,,_christrl_,🔥🔥🔥
,,ican.dothis666,sleep more
,,jav.ier__,drink more waterr
,,nigelhassomehair,Sleep more
,,triciaaa._,Practice healthy living!
,,ritvirighthere,Take small breaks as you can
,,yangandfighting,Exercise more
,,princezzbg,sleep more
,,chunlleong,Sleep more
,,seetboonpeng,"Share kind words to friends, cheer one another on!"
,,trinapohh,self-love
,,lthkygybq,try to be more confident
,,g.wyneth,sleep more
,,cyndalight,SLEEP
,,xlnru,sleep earlier
,,teng_sing,yolo!
,,asher_wong,"make more friends! <a class=""x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz notranslate _a6hd"" href=""/lucxs.lys/?hl=en"" role=""link"" tabindex=""0"">@lucxs.lys</a>"
,,ng_weiming,taking breaks
,,lucxs.lys,sleep some more
,,gtigtp,exercise more
,,bing.oblivion,Procrastinate less
,,xin.yiing,sleep more 🥺
,,rszh3103,More work-life balance
,,syahmii_a,Better time management skills
,,helpyasminpl,Wake up
,,iyng.oiiihui,Healthy schedule
,,thtzcrazy,Eat healthy!
,,itayushhh,🔥🔥
,,itayushhh,sleep more
,,achoo_cubchoo,watch taerae everyday! 🥰❤️
,,bukopauz,RUNNNNN
,,briellow,exercise more
,,yy._.lynn,Get out of comfort zone
,,bijalifepisodes_dotcom,Sleep more and do more self care
,,andiiitan,love my girlfriend❤️
,,imnotohaiyao,Sleep more
,,jeremiahkhong,Go to school less
,,10.vavan,play more
,,ba_ris.ta,Sleep more!!
,,bestplantuk,sleep more
,,xavy.teyy,plan more
,,extra_insane_dudu_llama,sleep more
,,megspiciest,smile more 😮😮
,,jh.yuuki,relax
,,tzusaera,be happy
,,k____nisha,sleepppp
,,nacopuffs,Sleep more!
,,irayna.lay,Work hard
,,liew_junjie,sleep more!!!
,,leavemealonety,sleep earlier
,,shhron,sleep more
,,nauxh_,More sleep
,,efaniiiii,SLEEPPP 🔥🔥
,,jt.zipx,mindful social media scrolling
,,jen.siew,Yay
,,jen.siew,Sleep
,,twolittlefiguresinasoupbowl,sleep more
,,_0081_,I love it!
,,pigulett,hehehaha
,,trashhjar,sleep more
,,leexin123_,sleep more
,,_wei.shen,sleep more and eat moreee
,,sannn_z,exercise more 💪
,,darseryl,don’t hesitate just do
,,jia.uwu,I will practice self care more often &lt;33 maybe meditate or sleep more
,,spouse_of.mrudani,study more
,,yongrxy,lock in for finals
,,whyareyoulikethathuh,prioritise sleep
,,wx329815,I will work towards prioritising sleep:)
,,husminn,Not sleeping late
,,abadabeedoo,more self care
,,kkjxuann,gym !!!!!
,,aaudriee_,sleep more!
,,michelle.hlim,sleep
,,hkl_1001,sleep earlier
,,jerome.jc_,SLEEP MORE
,,c.h.i.c.k.e.n.s.w.a.g,sleep more
,,ch.ee.zy,Run more!
Link,Question,Username,Comment
https://www.instagram.com/p/DDmuEAZAb6V/?hl=en,What's your best tip to thrive as an SMU student?,sgsmu.studentcare,"Edited&nbsp;·&nbsp;<time class=""_a9ze _a9zf"" datetime=""2024-12-21T02:09:15.000Z"" title=""Dec 21, 2024"">24w</time><div class=""x9f619 xjbqb8w x1rg5ohu x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1""></div>"
,,wr_educ.28,"Uni will pass by quickly 🥲.. so cherish those moments with your close friends and always try something new. Uni is the best time to try, fail, reflect and cherish 🌸🌟"
,,lacelily,drink matcha
,,ba_ris.ta,Be open minded and stay consistent :)
,,eh_kb,"Be consistent in everything, revision, projects, meetings"
,,crystal_shx,Always believe in yourself!
,,msmichaels,be consistent and resilient in everything you do! push through and have breaks in between!
,,ryokuroochan,be grateful that you're receiving education in a uni and remember how hard you've worked to get here!
,,orange_in_sg,Be positive when facing any problems 😊
,,jayy131313,Try new activities and you might just find something new that you like! Take breaks and chill with friends
,,thutra_chikin,do not wait until the last minute to study for exams🔥 stay focused in class and try to clarify any doubts with prof📚
,,iambenzenering,trust in ur abilities! and don't procrastinate too too much :)
,,goadaliago,"my biggest tip is actually to join a cca!! I think having a strong support/ community is rly important and enriching as a student, PLUS you get to do something that you love/ enjoy while being around a supportive community of friends that also know what youre gg thru in sch :)"
,,je.rnic,take breaks and walk around sch / libraries when u can ! a little breather and stretching of your muscles can go a long way ❤️❤️🌱
,,walkingsunflower_,chill and listen in class
,,sallykuulislol,Having a supportive community rooting for you!
,,thisisesha26,Take breaks!!! And surround yourself with people that spark joy in your life okie? Your uni life is too short to be surrounded by people who drain you! ❤️
,,julian_asks_why,"Don't be afraid to rely on ur support systems (friends, family, profs and counsellors etc), YOU'RE NEVER ALONE 🙌"
,,ohhhhkaiii,Never compare yourself with others!
,,seanlimjf,build a network of support to get you through tough times!
,,dillonyeo_,be open to new opportunities
,,rrachea,listen in class
,,x.peiying.x,"when things get overwhelming, get a braek drink and sit by campus green and chill ☺️"
,,jiexinnimon,Consistency (be it in revision or sleep) - having a routine helps to get the engine going on tough days
,,gentl.er,"Remember to always have a balance, don’t feel pressured to study for longer hours/pull an all-nighter because it could be less effective in the long run. Always listen to your own needs,, and don’t give up :))!"
,,irisyu_uu,Be confident at all times!
,,fishandchipsg,"Remember that uni is a marathon, not a sprint: don't overwork yourself, don't get complacent if you do well for one sem and don't give up if you dont do well as there is time to turn things around!"
,,virag.vk,Always take breaks and take care of yourself during the semester!
,,gladyschangg,to always be resilient! 🙌
,,xuznweii,stay optimistic and take frequent breaks!
,,stilljustlouie,Realising that SMU has many support systems! And using them to create a support system!
,,swkhon,Meditate! Helps to clear mind and regain inner strength.
,,weijunblahblah,"don’t be overly focused on grades, try to gain work experience and expand your professional network!!"
,,qian.huii,join a community (e.g. cca)! it add colours to your university life :)
,,_joshyjr,"run your own race at your own pace, don’t compare!"
,,_yinjie_,"cultivate a mindset of consistency over perfection. It's easy to get overwhelmed by the pressure to be perfect in every assignment or exam, but progress comes from consistent effort, not from always getting everything right."
,,chengyuan_60,Be open to new ideas!
,,lwjuun,"Course results are important in school, while results isn’t deterministic in your life journey ahead, do what you can with your best efforts and within your means, take care of your mental health and don’t cram study materials for the sake of it, go for understanding and you’ll better remember things naturally as it slowly gets all interconnected, step outside your comfort zone to join networking and club/social activities, more often than not by doing so you may find yourself in a better position than achieving As for your modules"
,,weiixshann,"Don't just work hard, work smart! Tap on all the different resources the school has like the libraries, online tools like chatgpt, turnitin and even tips and tricks from friends and profs!"
,,_chenyudi,get enough sleep 👍
,,staypositivepeople_,make new friends as they can help and support you whenever you are feeling down! and to consult prof if there's any doubt!
,,_s.hiraa_,"grass is always greener on the other side, being content is important"
,,husminn,Manage your time wisely
,,kiwixyzz,Overbid is better than underbid especially when there are few slots left
,,victoria.cjt,take a deep breath when stressed 🔥
,,iamveryshy_,"Find what works for you! Don’t be afraid to study/attend classes in your own “style”, even though it may not be the conventional “style”. Everyone is different so what works for others may not work for you, and what works for you may not work for others! Forcing yourself to conform would be stressful so just be you and do it your way!"
,,yu.qinggg,be open-minded and try your best to make friends and new experiences 🔥 speak up often and ask questions whenever possible to consolidate your learning ❤️
Link,Question,Username,Comment
https://www.instagram.com/p/DGmQWkuzPFq/?hl=en,A little kindness goes a long way! Give a friend a sincere compliment,sgsmu.studentcare,"Edited&nbsp;·&nbsp;<time class=""_a9ze _a9zf"" datetime=""2025-03-13T14:38:31.000Z"" title=""Mar 13, 2025"">13w</time><div class=""x9f619 xjbqb8w x1rg5ohu x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1""></div>"
